Location,Property Type,Bedrooms,Bathrooms,Size (m2),Amenities,Price (KES),price_per_sqft,amenity_score,distance_to_cbd_km,total_rooms,room_density,bathroom_bedroom_ratio,is_luxury,property_category
Westlands,Land,3,3,827.6994781553436,SQ,30000000.0,36245.04,0.5,2.93,6,0.0072,1.0,0,Other
Kasarani,Bedsitter,2,3,786.0,SQ,26000000.0,33078.88,0.5,11.8,5,0.0064,1.5,0,Apartment
Parklands,Land,5,5,1000.0,"Garden, SQ",160000000.0,160000.0,1.0,2.72,10,0.01,1.0,0,Other
Langata,Maisonette,3,3,1140.0,SQ,15000000.0,13157.89,0.5,10.77,6,0.0053,1.0,0,House
Kileleshwa,Apartment,3,3,208.0,SQ,19500000.0,93750.0,0.5,3.33,6,0.0288,1.0,0,Apartment
Kahawa,House,5,5,400.0,"SQ, Gate",55000000.0,137500.0,1.0,16.05,10,0.025,1.0,0,House
Ridgeways,Maisonette,6,5,450.0,"Swimming Pool, Gym, Garden, Lift, SQ, Store",70000000.0,155555.56,7.0,7.64,11,0.0244,0.83,0,House
Kilimani,House,6,6,1000.0,"Swimming Pool, SQ",65000000.0,65000.0,2.5,3.85,12,0.012,1.0,0,House
Westlands,Land,1,1,41.0,SQ,5800000.0,141463.41,0.5,2.93,2,0.0488,1.0,0,Other
Lavington,House,5,5,370.0,"SQ, Store",80000000.0,216216.22,1.0,5.48,10,0.027,1.0,0,House
Garden Estate,Villa,5,7,350.0,"Garden, SQ",75000000.0,214285.71,1.0,8.24,12,0.0343,1.4,0,House
Nairobi,Apartment,3,3,300.0,"Garden, SQ",14500000.0,48333.33,1.0,0.0,6,0.02,1.0,0,Apartment
Lavington,Apartment,3,3,170.0,SQ,23000000.0,135294.12,0.5,5.48,6,0.0353,1.0,0,Apartment
Kilimani,Apartment,2,2,70.0,SQ,7500000.0,107142.86,0.5,3.85,4,0.0571,1.0,0,Apartment
Hurlingham,Land,3,3,205.0,SQ,29500000.0,143902.44,0.5,4.38,6,0.0293,1.0,0,Other
Lavington,Maisonette,5,5,450.0,SQ,75000000.0,166666.67,0.5,5.48,10,0.0222,1.0,0,House
Valley Arcade,Apartment,3,3,138.0,SQ,12800000.0,92753.62,0.5,3.71,6,0.0435,1.0,0,Apartment
Roysambu,Commercial,1,2,464.0,SQ,120000000.0,258620.69,0.5,11.34,3,0.0065,2.0,0,Other
South C,Apartment,2,2,180.0,SQ,8000000.0,44444.44,0.5,3.4,4,0.0222,1.0,0,Apartment
Kilimani,Apartment,3,3,186.0,SQ,12500000.0,67204.3,0.5,3.85,6,0.0323,1.0,0,Apartment
Kitisuru,Villa,5,6,900.0,SQ,75000000.0,83333.33,0.5,6.42,11,0.0122,1.2,0,House
Kileleshwa,Apartment,3,3,236.0,SQ,22000000.0,93220.34,0.5,3.33,6,0.0254,1.0,0,Apartment
